"","Country","Neighbor","land_border_proportion","total_border_proportion"
"1","IND","LKA",3.171367086e-06,2.12174077e-06
"2","CHN","MAC",1.525940997e-05,9.277703496e-06
"3","ZMB","BWA",2.641295087e-05,2.646903123e-05
"4","BWA","ZMB",3.72745491e-05,3.735990037e-05
"5","ESP","GIB",0.0006291946309,0.0001743679163
"6","RUS","PRK",0.0009647853353,0.0003294607248
"7","ITA","VAT",0.001666666667,0.0003357112883
"8","FRA","MCO",0.001504178273,0.0005683285973
"9","CHN","HKG",0.001380613283,0.0008186208967
"10","TUR","AZE",0.003404255319,0.0009138911454
"11","RUS",NA,0.003698343785,0.001283162823
"12","CHN","AFG",0.003415201279,0.002073839605
"13","EGY","PSE",0.004106280193,0.002150537634
"14","NOR","RUS",0.07697160883,0.002283530618
"15","ESP","MAR",0.009228187919,0.002470212148
"16","HRV","MNE",0.01172161172,0.003112549801
"17","RUS","NOR",0.009808650909,0.003398647477
"18","MAR","ESP",0.008771929825,0.003425347572
"19","RUS","POL",0.01029104358,0.003572047859
"20","RUS","LVA",0.01085383502,0.003762788278
"21","RUS","LTU",0.01133622769,0.00393618866
"22","IDN","TLS",0.08068181818,0.003962047753
"23","ITA","SMR",0.02,0.004091481326
"24","RUS",NA,0.01205981669,0.004178949194
"25","IRN","ARM",0.00650887574,0.004441624365
"26","AZE","TUR",0.004476418865,0.004470938897
"27","PRK","RUS",0.01153846154,0.004558541267
"28","RUS","AZE",0.01415018492,0.004924570834
"29","RUS","EST",0.01471297636,0.005097971216
"30","DZA","ESH",0.006467661692,0.005623995715
"31","NLD",NA,0.009782608696,0.00685483871
"32","FRA","AND",0.01961002786,0.00731077241
"33","MAC","CHN",1,0.008224479923
"34","SAU","QAT",0.01343988376,0.008485362749
"35","NOR","FIN",0.2883280757,0.008574890484
"36","DNK","DEU",1,0.009211595774
"37","ESP","AND",0.03322147651,0.009256030224
"38","FRA","LUX",0.02506963788,0.009429088091
"39","CHN","TJK",0.01867461125,0.01129696837
"40","DEU","DNK",0.01866666667,0.01131447587
"41","SOM","DJI",0.02620689655,0.01136999068
"42","CHN","LAO",0.01911059439,0.01154255464
"43","RUS","GEO",0.03609905129,0.01253684758
